idx,predicted,correct,is_correct
188,D,D,True
189,C,C,True
190,A,A,True
191,C,C,True
192,D,D,True
193,C,C,True
194,C,C,True
195,C,C,True
196,A,A,True
197,B,B,True
198,D,D,True
199,C,C,True
200,A,A,True
201,B,B,True
202,B,C,False
203,A,A,True
204,B,B,True
205,B,B,True
206,C,C,True
207,A,A,True
208,B,B,True
209,A,A,True
210,C,C,True
211,B,B,True
212,D,D,True
213,A,A,True
214,B,B,True
215,C,C,True
216,D,D,True
217,C,C,True
218,D,D,True
219,A,A,True
220,C,C,True
221,A,A,True
222,C,C,True
223,A,A,True
224,B,B,True
225,C,C,True
226,D,C,False
227,C,C,True
228,A,A,True
229,D,D,True
230,B,B,True
231,A,A,True
232,C,C,True
233,A,A,True
234,C,C,True
235,A,A,True
236,A,A,True
237,B,B,True
238,A,A,True
239,A,A,True
240,D,D,True
241,B,B,True
242,A,A,True
243,C,A,False
244,D,D,True
245,C,C,True
246,A,A,True
247,D,D,True
248,B,B,True
249,B,B,True
250,A,A,True
251,B,B,True
252,A,A,True
253,D,D,True
254,A,A,True
255,C,C,True
256,C,C,True
257,D,D,True
258,D,D,True
259,D,D,True
260,C,C,True
261,C,C,True
262,D,D,True
263,C,C,True
264,A,A,True
265,A,D,False
266,A,A,True
267,D,D,True
268,D,D,True
269,C,C,True
270,C,C,True
271,B,B,True
272,C,C,True
273,A,A,True
274,A,A,True
275,A,A,True
276,C,C,True
277,D,D,True
278,A,A,True
279,B,B,True
280,B,B,True
281,C,C,True
282,A,A,True
283,A,A,True
284,A,A,True
285,D,C,False
286,C,C,True
287,A,A,True
288,B,B,True
289,C,C,True
290,B,B,True
291,A,A,True
292,C,C,True
293,A,A,True
294,A,A,True
295,A,A,True
296,A,A,True
297,D,D,True
298,D,D,True
299,B,B,True
300,D,D,True
301,C,C,True
302,A,A,True
303,D,C,False
304,A,A,True
305,B,B,True
306,C,C,True
307,C,C,True
308,C,C,True
309,D,D,True
310,B,B,True
311,C,C,True
312,B,B,True
313,B,B,True
314,A,A,True
315,A,A,True
316,A,A,True
317,A,A,True
318,C,C,True
319,A,A,True
320,C,C,True
321,A,A,True
322,C,C,True
323,C,C,True
324,A,A,True
325,B,B,True
326,A,A,True
327,A,A,True
328,A,A,True
329,B,B,True
330,B,B,True
331,B,B,True
332,D,D,True
333,D,D,True
334,B,B,True
335,A,A,True
336,A,A,True
337,B,B,True
338,A,A,True
339,A,A,True
340,D,D,True
341,B,B,True
342,C,C,True
343,A,A,True
344,A,A,True
345,B,B,True
346,B,B,True
347,A,A,True
348,C,C,True
349,B,B,True
350,B,B,True
351,A,A,True
352,A,A,True
353,B,B,True
354,C,C,True
355,A,A,True
356,A,A,True
357,D,D,True
358,B,B,True
359,C,C,True
360,A,A,True
361,A,A,True
362,D,D,True
363,C,C,True
364,A,A,True
365,C,C,True
366,A,A,True
367,D,D,True
368,C,C,True
369,D,D,True
370,D,D,True
371,A,A,True
372,D,D,True
373,D,D,True
374,D,D,True
375,B,B,True
376,D,D,True
377,D,D,True
378,A,A,True
379,C,C,True
380,B,B,True
381,C,C,True
382,C,C,True
383,A,A,True
384,D,D,True
385,D,D,True
386,C,C,True
387,B,B,True
388,C,C,True
389,D,D,True
390,A,A,True
391,A,A,True
392,C,C,True
393,A,A,True
394,C,C,True
395,B,B,True
396,D,D,True
397,A,A,True
398,D,D,True
399,B,B,True
400,B,B,True
401,C,C,True
402,A,A,True
403,D,D,True
404,A,A,True
405,A,A,True
406,B,B,True
407,B,B,True
408,A,A,True
409,C,C,True
410,C,C,True
411,B,B,True
412,A,A,True
413,A,A,True
414,D,D,True
415,D,D,True
416,C,C,True
417,A,A,True
418,C,C,True
419,B,B,True
420,B,B,True
421,C,C,True
422,A,A,True
423,D,D,True
424,C,C,True
425,C,C,True
426,B,B,True
427,B,B,True
428,A,A,True
429,D,D,True
430,A,A,True
431,B,B,True
432,A,A,True
433,C,C,True
434,B,B,True
435,C,C,True
436,C,C,True
437,A,A,True
438,C,C,True
439,A,A,True
440,D,D,True
441,C,C,True
442,C,C,True
443,B,B,True
444,C,C,True
445,B,B,True
446,A,A,True
447,C,C,True
448,B,D,False
449,B,B,True
450,B,B,True
451,D,D,True
452,B,B,True
453,B,B,True
454,D,D,True
455,C,C,True
456,B,B,True
457,B,B,True
458,C,C,True
459,D,D,True
460,A,A,True
461,C,C,True
462,B,B,True
463,A,A,True
464,B,B,True
465,C,C,True
466,B,B,True
467,D,D,True
468,A,A,True
469,A,A,True
470,A,A,True
471,C,C,True
472,C,C,True
473,C,C,True
474,B,B,True
475,D,D,True
476,C,C,True
477,A,A,True
478,C,C,True
479,C,C,True
480,B,B,True
481,A,A,True
482,B,B,True
483,A,C,False
484,C,C,True
485,A,D,False
486,B,B,True
487,C,C,True
488,A,A,True
489,C,C,True
490,C,C,True
491,A,A,True
492,C,C,True
493,C,C,True
494,A,A,True
495,A,A,True
496,C,C,True
497,D,D,True
498,A,A,True
499,C,C,True
500,B,B,True
501,D,D,True
502,B,B,True
503,B,B,True
504,B,B,True
505,B,B,True
506,A,A,True
507,D,D,True
508,B,B,True
509,D,D,True
510,A,A,True
511,A,A,True
512,B,B,True
513,D,D,True
514,A,A,True
515,D,D,True
516,D,D,True
517,A,A,True
518,B,B,True
519,C,C,True
520,B,B,True
521,A,A,True
522,C,C,True
523,D,D,True
524,B,B,True
525,D,D,True
526,C,C,True
527,A,A,True
528,C,C,True
529,B,B,True
530,A,A,True
531,D,D,True
532,B,B,True
533,A,A,True
534,B,B,True
535,C,C,True
536,D,D,True
537,A,A,True
538,C,A,False
539,D,D,True
540,D,D,True
541,C,A,False
542,B,B,True
543,C,C,True
544,B,B,True
545,C,C,True
546,D,D,True
547,D,D,True
548,D,D,True
549,B,B,True
550,A,A,True
551,A,A,True
552,A,A,True
553,B,B,True
554,A,A,True
555,B,B,True
556,A,A,True
557,C,C,True
558,B,B,True
559,B,B,True
560,D,A,False
561,C,C,True
562,B,B,True
563,A,A,True
564,B,A,False
565,B,B,True
566,B,B,True
567,D,D,True
568,A,A,True
569,B,B,True
570,A,A,True
571,C,C,True
572,C,C,True
573,C,C,True
574,B,B,True
575,B,B,True
576,D,D,True
577,B,B,True
578,A,A,True
579,D,D,True
580,A,A,True
581,C,C,True
582,D,D,True
583,D,D,True
584,D,D,True
585,D,D,True
586,B,B,True
587,B,D,False
588,A,A,True
589,D,D,True
590,C,C,True
591,C,C,True
592,A,A,True
593,C,C,True
594,C,C,True
595,B,B,True
596,C,C,True
597,B,B,True
598,B,B,True
599,C,C,True
600,D,D,True
601,D,D,True
602,B,A,False
603,A,A,True
604,A,A,True
605,B,B,True
606,D,D,True
607,C,C,True
608,C,C,True
609,D,D,True
610,A,A,True
611,C,C,True
612,A,A,True
613,C,C,True
614,C,C,True
615,A,A,True
616,D,D,True
617,B,B,True
618,C,C,True
619,D,D,True
620,C,C,True
621,D,D,True
622,C,C,True
623,A,A,True
624,D,D,True
625,B,B,True
626,D,D,True
627,C,C,True
628,C,C,True
629,D,D,True
630,D,D,True
631,B,B,True
632,D,D,True
633,D,B,False
634,A,A,True
635,B,B,True
636,A,A,True
637,A,A,True
638,A,A,True
639,A,A,True
640,D,D,True
641,A,A,True
642,A,A,True
643,D,D,True
644,B,B,True
645,B,B,True
646,B,B,True
647,B,B,True
648,A,A,True
649,A,A,True
650,C,C,True
651,C,C,True
652,C,C,True
653,A,A,True
654,A,A,True
655,B,B,True
656,D,D,True
657,D,D,True
658,C,C,True
659,B,C,False
660,A,A,True
661,A,A,True
662,D,D,True
663,D,D,True
664,C,C,True
665,C,B,False
666,A,A,True
667,A,A,True
668,B,B,True
669,B,B,True
670,D,D,True
671,B,B,True
672,B,B,True
673,D,D,True
674,A,A,True
675,D,C,False
676,A,A,True
677,D,A,False
678,B,B,True
679,B,B,True
680,D,D,True
681,B,B,True
682,D,D,True
683,C,C,True
684,B,B,True
685,C,C,True
686,A,A,True
687,A,A,True
688,A,A,True
689,B,C,False
690,A,A,True
691,B,B,True
692,C,C,True
693,B,B,True
694,A,A,True
695,B,B,True
696,D,D,True
697,D,D,True
698,A,A,True
699,A,A,True
700,B,B,True
701,C,C,True
702,C,C,True
703,D,D,True
704,D,D,True
705,C,C,True
706,B,B,True
707,X,C,False
708,X,A,False
709,A,A,True
710,C,C,True
711,C,C,True
712,C,C,True
713,A,A,True
714,B,B,True
715,B,B,True
716,C,C,True
717,B,B,True
718,D,D,True
719,A,A,True
720,B,B,True
721,B,B,True
722,D,D,True
723,C,C,True
724,D,D,True
725,C,C,True
726,D,D,True
727,A,A,True
728,C,C,True
729,C,C,True
730,D,D,True
731,B,B,True
732,B,B,True
733,B,B,True
734,C,C,True
735,A,A,True
736,A,A,True
737,C,C,True
738,A,A,True
739,A,A,True
740,D,D,True
741,X,A,False
742,B,B,True
743,B,B,True
744,C,C,True
745,A,A,True
746,B,B,True
747,C,C,True
748,A,A,True
749,C,C,True
750,B,B,True
751,B,B,True
752,C,C,True
753,C,C,True
754,B,B,True
755,C,C,True
756,B,B,True
757,D,D,True
758,D,D,True
759,C,C,True
760,B,B,True
761,D,D,True
762,C,C,True
763,A,A,True
764,C,C,True
765,C,C,True
766,D,D,True
767,A,A,True
768,B,B,True
769,C,C,True
770,B,B,True
771,C,C,True
772,D,D,True
773,A,A,True
774,D,D,True
775,A,A,True
776,B,B,True
777,C,C,True
778,C,C,True
779,D,D,True
780,C,C,True
781,D,D,True
782,D,D,True
783,B,B,True
784,B,B,True
785,D,D,True
786,D,D,True
787,C,C,True
788,C,C,True
789,C,C,True
790,B,B,True
791,A,A,True
792,B,B,True
793,B,B,True
794,D,D,True
795,C,C,True
796,C,C,True
797,D,D,True
798,C,C,True
799,B,B,True
800,B,B,True
801,B,B,True
802,D,D,True
803,D,A,False
804,A,A,True
805,B,B,True
806,A,A,True
807,A,A,True
808,C,C,True
809,B,B,True
810,A,A,True
811,D,D,True
812,D,D,True
813,C,C,True
814,D,D,True
815,A,A,True
816,A,A,True
817,C,C,True
818,A,A,True
819,D,D,True
820,C,C,True
821,C,C,True
822,C,C,True
823,C,C,True
824,A,A,True
825,C,C,True
826,B,B,True
827,A,A,True
828,B,B,True
829,D,D,True
830,B,B,True
831,A,A,True
832,B,B,True
833,D,D,True
834,C,C,True
835,C,C,True
836,A,A,True
837,D,D,True
838,A,A,True
839,B,B,True
840,D,D,True
841,B,B,True
842,C,C,True
843,C,C,True
844,A,A,True
845,A,A,True
846,C,C,True
847,C,C,True
848,B,B,True
849,D,D,True
850,B,B,True
851,C,C,True
852,B,C,False
853,B,C,False
854,B,B,True
855,B,B,True
856,C,C,True
857,C,C,True
858,A,A,True
859,D,D,True
860,C,C,True
861,B,B,True
862,B,B,True
863,A,A,True
864,D,D,True
865,C,C,True
866,A,A,True
867,A,A,True
868,C,C,True
869,A,A,True
870,A,A,True
871,B,B,True
872,C,C,True
873,C,C,True
874,A,D,False
875,D,D,True
876,D,D,True
877,B,B,True
878,C,C,True
879,D,D,True
880,C,C,True
881,A,A,True
882,B,D,False
883,B,B,True
884,A,A,True
885,C,C,True
886,A,A,True
887,A,A,True
888,A,A,True
889,A,A,True
890,A,A,True
891,C,A,False
892,D,D,True
893,B,B,True
894,A,A,True
895,D,D,True
896,D,D,True
897,B,B,True
898,B,B,True
899,C,C,True
900,B,B,True
901,A,D,False
902,C,C,True
903,B,B,True
904,B,B,True
905,C,A,False
906,D,D,True
907,A,A,True
908,C,C,True
909,C,B,False
910,B,B,True
911,C,C,True
912,B,B,True
913,D,D,True
914,C,C,True
915,A,A,True
916,A,A,True
917,D,D,True
918,B,B,True
919,B,B,True
920,A,A,True
921,A,A,True
922,A,A,True
923,C,C,True
924,A,A,True
925,C,C,True
926,B,B,True
927,C,C,True
928,B,B,True
929,C,C,True
930,A,A,True
931,C,A,False
932,D,D,True
933,A,A,True
934,B,B,True
935,A,A,True
936,B,B,True
937,C,C,True
938,C,C,True
939,A,A,True
940,A,A,True
941,A,A,True
942,A,A,True
943,D,D,True
944,D,D,True
945,B,B,True
946,C,C,True
947,B,B,True
948,B,C,False
949,A,A,True
950,A,A,True
951,C,C,True
952,A,A,True
953,C,C,True
954,B,B,True
955,C,C,True
956,A,A,True
957,B,B,True
958,B,B,True
959,B,B,True
960,D,D,True
961,A,A,True
962,B,B,True
963,D,D,True
964,B,C,False
965,D,D,True
966,B,B,True
967,B,B,True
968,A,A,True
969,C,C,True
970,C,C,True
971,D,D,True
972,C,C,True
973,B,B,True
974,D,D,True
975,C,C,True
976,D,D,True
977,B,B,True
978,C,C,True
979,C,C,True
980,B,B,True
981,C,C,True
982,B,B,True
983,C,C,True
984,D,C,False
985,A,A,True
986,C,C,True
987,B,B,True
988,B,B,True
989,B,B,True
990,D,D,True
991,C,C,True
992,D,D,True
993,A,A,True
994,B,B,True
995,C,C,True
996,C,C,True
997,D,D,True
998,B,B,True
999,D,D,True
1000,C,C,True
1001,C,C,True
1002,A,A,True
1003,D,D,True
1004,C,C,True
1005,D,D,True
1006,C,C,True
1007,A,A,True
1008,D,D,True
1009,C,C,True
1010,B,B,True
1011,D,D,True
1012,A,A,True
1013,C,C,True
1014,B,B,True
1015,A,A,True
1016,C,C,True
1017,D,D,True
1018,B,B,True
1019,A,A,True
1020,C,C,True
1021,D,D,True
1022,A,A,True
1023,C,C,True
1024,C,C,True
1025,D,D,True
1026,A,A,True
1027,B,B,True
1028,D,D,True
1029,A,A,True
1030,A,A,True
1031,D,D,True
1032,B,B,True
1033,B,B,True
1034,B,B,True
1035,B,B,True
1036,B,B,True
1037,A,A,True
1038,A,A,True
1039,B,B,True
1040,B,B,True
1041,C,C,True
1042,D,D,True
1043,D,D,True
1044,B,B,True
1045,A,A,True
1046,B,B,True
1047,B,B,True
1048,B,B,True
1049,C,C,True
1050,C,C,True
1051,C,C,True
1052,B,B,True
1053,B,B,True
1054,A,A,True
1055,C,C,True
1056,D,D,True
1057,A,A,True
1058,C,C,True
1059,A,A,True
1060,A,C,False
1061,D,D,True
1062,A,A,True
1063,D,D,True
1064,D,D,True
1065,D,A,False
1066,A,A,True
1067,C,C,True
1068,B,B,True
1069,A,A,True
1070,D,D,True
1071,A,A,True
1072,D,D,True
1073,D,D,True
1074,C,C,True
1075,D,D,True
1076,B,B,True
1077,A,A,True
1078,A,A,True
1079,D,D,True
1080,C,C,True
1081,D,D,True
1082,B,B,True
1083,A,A,True
1084,D,D,True
1085,A,A,True
1086,B,B,True
1087,C,C,True
1088,B,B,True
1089,B,B,True
1090,C,C,True
1091,C,C,True
1092,B,B,True
1093,B,B,True
1094,C,C,True
1095,C,C,True
1096,C,C,True
1097,C,C,True
1098,D,D,True
1099,A,A,True
1100,A,A,True
1101,A,A,True
1102,C,C,True
1103,C,C,True
1104,B,B,True
1105,A,A,True
1106,B,B,True
1107,A,A,True
1108,C,C,True
1109,B,B,True
1110,C,C,True
1111,C,C,True
1112,C,C,True
1113,D,D,True
1114,C,C,True
1115,D,D,True
1116,C,C,True
1117,C,C,True
1118,C,C,True
1119,D,D,True
1120,C,C,True
1121,A,A,True
1122,A,A,True
1123,D,D,True
1124,D,D,True
1125,C,C,True
1126,D,D,True
1127,C,C,True
1128,A,A,True
1129,C,C,True
1130,A,A,True
1131,A,A,True
1132,D,D,True
1133,B,B,True
1134,A,A,True
1135,D,D,True
1136,D,D,True
1137,C,C,True
1138,D,D,True
1139,A,A,True
1140,B,B,True
1141,B,B,True
1142,B,A,False
1143,C,C,True
1144,C,C,True
1145,A,A,True
1146,C,C,True
1147,A,A,True
1148,A,A,True
1149,B,B,True
1150,A,A,True
1151,A,A,True
1152,B,B,True
1153,A,A,True
1154,D,D,True
1155,D,D,True
1156,C,C,True
1157,D,D,True
1158,D,D,True
1159,A,A,True
1160,C,C,True
1161,B,B,True
1162,D,D,True
1163,B,B,True
1164,A,A,True
1165,B,B,True
1166,C,C,True
1167,B,A,False
1168,A,A,True
1169,C,C,True
1170,A,A,True
1171,C,C,True
1172,D,D,True
1173,A,A,True
1174,C,C,True
1175,B,B,True
1176,D,D,True
1177,B,B,True
1178,B,B,True
1179,C,C,True
1180,A,A,True
1181,D,D,True
1182,A,A,True
1183,B,B,True
1184,D,D,True
1185,C,C,True
1186,B,B,True
1187,A,A,True
1188,B,B,True
1189,C,C,True
1190,D,D,True
1191,C,C,True
1192,A,A,True
1193,C,C,True
1194,D,D,True
1195,A,A,True
1196,C,C,True
1197,C,C,True
1198,B,B,True
1199,A,A,True
1200,B,B,True
1201,C,C,True
1202,A,A,True
1203,C,C,True
1204,A,A,True
1205,D,D,True
1206,A,A,True
1207,B,B,True
1208,D,D,True
1209,A,A,True
1210,C,C,True
1211,C,C,True
1212,B,B,True
1213,D,D,True
1214,A,A,True
1215,A,A,True
1216,A,A,True
1217,D,D,True
1218,B,B,True
1219,C,C,True
1220,A,A,True
1221,A,A,True
1222,C,C,True
1223,A,A,True
1224,D,D,True
1225,B,B,True
1226,D,D,True
1227,C,C,True
1228,B,B,True
1229,D,C,False
1230,D,D,True
1231,A,A,True
1232,A,A,True
1233,A,A,True
1234,B,B,True
1235,A,A,True
1236,B,B,True
1237,A,A,True
1238,C,C,True
1239,C,C,True
1240,A,A,True
1241,D,D,True
1242,B,B,True
1243,D,D,True
1244,A,A,True
1245,B,B,True
1246,C,C,True
1247,A,A,True
1248,D,D,True
1249,D,D,True
1250,A,A,True
1251,A,A,True
1252,B,B,True
1253,B,B,True
1254,B,B,True
1255,A,A,True
1256,A,A,True
1257,D,D,True
1258,A,A,True
1259,B,B,True
1260,B,B,True
1261,C,C,True
1262,B,B,True
1263,A,A,True
1264,B,B,True
1265,B,B,True
1266,C,C,True
1267,B,B,True
1268,D,D,True
1269,D,D,True
1270,B,B,True
1271,C,C,True
1272,C,C,True
